23641,5550296508_10153268721801509
13768,5550296508_10154532116336509
2733,5550296508_10156489814131509
28116,5550296508_10152267508741211
27598,5550296508_10152497019291509
25323,5550296508_10152863581826509
4516,5550296508_10156114277906509
11784,5550296508_10154824264481509
4241,5550296508_10156167286671509
22240,5550296508_10153624101266509
1342,5550296508_10156760736296509
22847,5550296508_10153483561266509
28179,5550296508_10103502017565621
19201,5550296508_10154016562666509
15517,5550296508_10154379545626509
10962,5550296508_10154946106446509
21804,5550296508_10153693674916509
19526,5550296508_10153976706186509
24693,5550296508_10152996895521509
25920,5550296508_10152772277051509
13607,5550296508_10154549635476509
28201,5550296508_10100830394499689
4447,5550296508_10156126703386509
16306,5550296508_10154303198536509
22105,5550296508_10153641170851509
16589,5550296508_10154279933311509
15884,5550296508_10154347898806509
5942,5550296508_10155855088726509
3144,5550296508_10156388553366509
15187,5550296508_10154402956076509
21550,5550296508_10153731689991509
10190,5550296508_10155063276841509
7141,5550296508_10155631707181509
19976,5550296508_10153913999691509
21182,5550296508_10153776984241509
13994,5550296508_10154505707411509
22231,5550296508_10153625451306509
28495,5550296508_10103035992114310
11173,5550296508_10154918279501509
3440,5550296508_10156320959256509
11896,5550296508_10154810626746509
17842,5550296508_10154174037036509
15271,5550296508_10154397017446509
8130,5550296508_10155433137736509
20827,5550296508_10153814079701509
11337,5550296508_10154890338616509
6558,5550296508_10155743325401509
18220,5550296508_10154142455391509
12414,5550296508_10154734399786509
14673,5550296508_10154444366886509
23414,5550296508_10153313021451509
11885,5550296508_10154811370476509
21848,5550296508_10153675427931509
23970,5550296508_10153162291021509
14184,5550296508_10154483365651509
7384,5550296508_10155590250906509
15647,5550296508_10154369094731509
16482,5550296508_10154288697801509
4228,5550296508_10156168890306509
18199,5550296508_10154144774056509
20554,5550296508_10153849886466509
20249,5550296508_10153883584926509
252,5550296508_10156980273006509
29541,5550296508_10152213467311509
2415,5550296508_10156539607956509
3439,5550296508_10156321131456509
19733,5550296508_10153943828241509
11014,5550296508_10154938052016509
13306,5550296508_10154605283101509
5641,5550296508_10155908908766509
18,5550296508_10157030641226509
17741,5550296508_10154181306591509
26435,5550296508_10152686144006509
29840,5550296508_10152118600056509
6125,5550296508_10155822803856509
20800,5550296508_10153819816351509
3413,5550296508_10156326837391509
22376,5550296508_10153583756886509
1948,5550296508_10156617083431509
1341,5550296508_10156760896091509
8036,5550296508_10155455455286509
1235,5550296508_10156778397916509
27907,5550296508_10152448866921509
12009,5550296508_10154794849236509
5136,5550296508_10156006769391509
22214,5550296508_10153627911826509
3039,5550296508_10156407572836509
17291,5550296508_10154220939551509
9171,5550296508_10155225718411509
28248,5550296508_10152251637091211
12757,5550296508_10154680958561509
17835,5550296508_10154174714456509
10390,5550296508_10155028377321509
12269,5550296508_10154756474096509
29078,5550296508_10152137330181211
2894,5550296508_10156452707876509
20558,5550296508_10153849418581509
9431,5550296508_10155180157586509
1442,5550296508_10156733042811509
12775,5550296508_10154679160031509
9887,5550296508_10155115916061509
1584,5550296508_10156701062636509
12673,5550296508_10154693000101509
6069,5550296508_10155833839586509
11815,5550296508_10154819421071509
25173,5550296508_10152881155726509
19464,5550296508_10153985816456509
11888,5550296508_10154811217781509
21087,5550296508_10153787835186509
21868,5550296508_10153676511856509
1002,5550296508_10156824757336509
2620,5550296508_10156504675151509
25637,5550296508_10152815271741509
6503,5550296508_10155756639766509
14042,5550296508_10154500810016509
21126,5550296508_10153783715876509
1687,5550296508_10156679027461509
2900,5550296508_10156451271681509
22894,5550296508_10153471520381509
5138,5550296508_10156006640791509
14205,5550296508_10154481190406509
11912,5550296508_10154809444041509
14852,5550296508_10154431195006509
23807,5550296508_10153201057806509
18498,5550296508_10154119373401509
28477,5550296508_10152221490001211
28597,5550296508_10152206597321211
16140,5550296508_10154321303821509
15851,5550296508_10154352828021509
20576,5550296508_10153848281446509
12133,5550296508_10154776746996509
12583,5550296508_10154707898451509
19078,5550296508_10154035468286509
10507,5550296508_10155008343461509
21095,5550296508_10153785248336509
27454,5550296508_10152522441211509
15813,5550296508_10154355461146509
25990,5550296508_10152759048736509
4407,5550296508_10156136250786509
16357,5550296508_10154299337811509
4127,5550296508_10156187554946509
1829,5550296508_10156653188726509
10653,5550296508_10154992063426509
16130,5550296508_10154322863411509
23725,5550296508_10153237369381509
17386,5550296508_10154212060571509
27593,5550296508_10152498508631509
9397,5550296508_10155185604106509
22585,5550296508_10153545873771509
25783,5550296508_10152791294906509
15027,5550296508_10154417244471509
24912,5550296508_10152925221616509
19303,5550296508_10154004097771509
24520,5550296508_10153037476736509
4303,5550296508_10156155187931509
17743,5550296508_10154181126271509
29244,5550296508_10152112193511211
26116,5550296508_10152740582226509
23756,5550296508_10153221087831509
17387,5550296508_10154212032101509
1026,5550296508_10156821200156509
26002,5550296508_10152758255151509
5727,5550296508_10155892273856509
8187,5550296508_10155422924291509
23049,5550296508_10153423134436509
23759,5550296508_10153220072641509
19378,5550296508_10153998124066509
13693,5550296508_10154538940166509
25872,5550296508_10152778389641509
17163,5550296508_10154229809211509
27286,5550296508_10152547658081509
24593,5550296508_10153020304171509
3841,5550296508_10156249382201509
24734,5550296508_10152985632491509
21588,5550296508_10153727747956509
17247,5550296508_10154223986001509
3392,5550296508_10156331633511509
11852,5550296508_10154815319111509
16671,5550296508_10154273737376509
24219,5550296508_10153101757401509
7366,5550296508_10155594557616509
17853,5550296508_10154173551411509
5285,5550296508_10155980732646509
10894,5550296508_10154956301626509
18495,5550296508_10154119520306509
17044,5550296508_10154242817476509
14261,5550296508_10154476272701509
14574,5550296508_10154452291736509
5720,5550296508_10155892883471509
14849,5550296508_10154431359666509
4984,5550296508_10156035962961509
5233,5550296508_10155988883971509
18319,5550296508_10154132550521509
14585,5550296508_10154451521261509
10339,5550296508_10155036375356509
27939,5550296508_10152443020161509
25050,5550296508_10152901100776509
16449,5550296508_10154292609701509
4903,5550296508_10156051802456509
13642,5550296508_10154544521221509
19166,5550296508_10154022337561509
20297,5550296508_10153878344371509
24051,5550296508_10153147750811509
882,5550296508_10156848968711509
18611,5550296508_10154109609426509
13832,5550296508_10154522571186509
22830,5550296508_10153484673151509
5243,5550296508_10155987259101509
16742,5550296508_10154267378176509
6936,5550296508_10155668410041509
27103,5550296508_10152573359836509
21520,5550296508_10153735365581509
21021,5550296508_10153796270161509
24949,5550296508_10152918031056509
12565,5550296508_10154710215736509
20037,5550296508_10153906514861509
7149,5550296508_10155629130101509
759,5550296508_10156869689131509
27336,5550296508_10152538909926509
